Neighborhood,TotalSqFt,Address 1,Zip
Harlem,16600,4-20 E. 117th Street,10035
Mott Haven,4100,413-415 East 146th Street,10455
Mott Haven,4100,409-411 East 146th Street,10455
Mott Haven,6000,455 East 146th Street,10455
Mott Haven,12126,480-490 East 143th Street,10454
Mott Haven,4500,521-525 East 145th Street,10454
Fort Greene,11000,177 Myrtle Avenue,11201
Brownsville,7375,1142 Lenox Rd,11212
Brownsville,5888,1145 Lenox Rd,11212
Bronx,3500,411 east 136th Street,10454
Bronx,10700,416 east 137th street,10454
Bronx,3375,520 144th Street,10454
Bronx,3375,530 144th Street,10454
Bronx,3375,540 144th Street,10454
Bronx,3000,550 144th Street,10454
Bronx,3000,560 144th Street,10454
Bronx,1700,445 146th Street,10455
Bronx,8650,510/512 E 146th Street,10455
Bronx,8300,511/513 E 146th Street,10455
Bronx,3800,521 E 146th Street,10455
Bronx,3800,525 E 146th Street,10455
Bronx,8300,530/528 E 146th Street,10455
Bronx,7400,537/545 E 146th Street,10455
Bronx,10000,505/509/511/517 144th Street,10454
Long Island City,7000,34-16 Astoria Blvd S,11103
Harlem,18032,50 West 139th st,10037
Harlem,15352,560 Lenox Avenue,10037
Bedford Stuyvesant,4896,218 Gates Avenue,11216
Bedford Stuyvesant,6645,210 Kosciusko Avenue,11216
Bedford Stuyvesant,6645,686 Lafayette Avenue,11216
East New York,3226,1900 Sterling Place,11233
Hollis,7000,204-01 Hollis Avenue,11412
East Corona,8600,100-01 Northern Blvd,11369
East Flushing,7400,196-36 Northern Blvd,11358
Bayside,8000,214-20 Northern Blvd,11361
Astoria,2600,40-20 Broadway,11103
Arverne,6000,312 Beach 54th Street,11692
Oakland Gardens,5000,79-50 Bell Blvd,11634
Fresh Meadows,9500,193-20 Horace Harding Expressway,11365
Jamaica,7900,92-06 156th Street,11414
Bronx,5200,5555 Mosholu Ave,10471
Bronx,6000,812 Edgewater Rd,10474
Briarwood,15282,85-70 148th st,11435
Bronx,3200,243 E204th St,10458
Sunnyside,24000,39-01 Queens Blvd,11104
Sunnyside,14000,43-31 39th Street,11104
Sunset Park,9327,705 41st Street,11232
Harlem,3315,118-124 E111th Street,10029
Concourse,4000,1413 Sheridan Ave,10456
Concourse,7500,1347 Morris Avenue,10456
Murray Hill,9427,14 E. 28th St,10016
Flatiron,2125,137 W14th St,10011
Harlem,1000,216 West 112th Street,10026
Bowery,3946,184 Eldridge St,10002
East New York,3540,508 Williams Avenue,11207
East New York,3540,502 Williams Avenue,11207
East New York,3540,496 Williams Avenue,11207
East New York,3540,490 Williams Avenue,11207
East New York,3540,486 Williams Ave,11207
Astoria,8000,2112 30th Rd,11102
Upper West Side,4622,149 Manhattan Ave,10025
Upper West Side,3600,149 W108,10025
Upper West Side,5590,930 West end Ave,10025
Harlem,3500,109 W129th st,10027
Long Island City,3000,43-26 12th Street,11101
Flushing,8625,138-46 Northern Blvd,11354
Park Slope,3500,357 9th Street,11215
Jamaica,10810,238-10 Hillsdale Ave,11427
Bedford Stuyvesant,14300,1121 Bedford Ave,11216
Long Island City,22000,32-23 Queens Blvd,11101
Boro Park,4815,4912 14th Avenue,11219
East Harlem,5042,206 East 118th Street,10035
East Harlem,3164,2295 2nd Avenue,10035
East Harlem,3120,251 E. 119th Street,10035
